Num_Acc;luminosite
200500001731;3
200500001732;1
200500001733;3
200500001734;3
200500001735;5
200500001736;1
200500001737;1
200500001738;3
200500001739;3
200500001740;1
200500001741;3
200500001742;3
200500001743;2
200500001744;3
200500001745;2
200500001746;1
200500001747;3
200500001748;1
200500001749;1
200500001750;1
200500001751;2
200500001752;1
200500001753;1
200500001754;3
200500001755;1
200500001756;1
200500001757;2
200500001758;1
200500001759;1
200500001760;3
200500001761;3
200500001762;1
200500001763;5
200500001764;2
200500001765;1
200500001766;1
200500001767;1
200500001768;1
200500001769;3
200500001770;3
200500001771;3
200500001772;1
200500001773;1
200500001774;3
200500001775;2
200500001776;3
200500001777;1
200500001778;1
200500001779;2
200500001780;1
200500001781;3
200500001782;1
200500001783;2
200500001784;1
200500001785;3
200500001786;1
200500001787;5
200500001788;1
200500001789;1
200500001790;1
200500001791;2
200500001792;2
200500001793;2
200500001794;3
200500001795;3
200500001796;1
200500001797;2
200500001798;3
200500001799;3
200500001800;3
200500001801;2
200500001802;5
200500001803;3
200500001804;3
200500001805;3
200500001806;3
200500001807;3
200500001808;3
200500001809;1
200500001810;1
200500001811;1
200500001812;3
200500001813;3
200500001814;3
200500001815;1
200500001816;3
200500001817;3
200500001818;1
200500001819;1
200500001820;3
200500001821;5
200500001822;3
200500001823;3
200500001824;2
200500001825;1
200500001826;1
200500001827;3
200500001828;3
200500001829;5
200500001830;1
200500001831;1
200500001832;1
200500001833;1
200500001834;1
200500001835;1
200500001836;2
200500001837;3
200500001838;3
200500001839;1
200500001840;3
200500001841;1
200500001842;1
200500001843;3
200500001844;1
200500001845;1
200500001846;3
200500001847;3
200500001848;3
200500001849;3
200500001850;4
200500001851;1
200500001852;1
200500001853;5
200500001854;5
200500001855;1
200500001856;1
200500001857;3
200500001858;1
200500001859;3
200500001860;1
200500001861;1
200500001862;3
200500001863;3
200500001864;3
200500001865;1
200500001866;1
200500001867;3
200500001868;1
200500001869;3
200500001870;1
200500001871;3
200500001872;3
200500001873;1
200500001874;3
200500001875;2
200500001876;3
200500001877;2
200500001878;1
200500001879;3
200500001880;1
200500001881;3
200500001882;3
200500001883;1
200500001884;1
200500001885;3
200500001886;3
200500001887;3
200500001888;3
200500001889;1
200500001890;1
200500001891;3
200500001892;1
200500001893;2
200500001894;5
200500001895;3
200500001896;5
200500001897;3
200500001898;5
